"1","Ameenah","ameenah@sure.com","hello there!","2022-06-21 15:20:00"
"2","Bode","bode@sure.com","Im having a great time","2022-06-21 15:20:00"
"3","Kayode","kayode@gmail.com","When will you get back to me?","2022-06-21 15:23:33"
"4","Techgod","tech@sure.com","See you tomorrow at the park","2022-06-21 15:23:33"
"5","Patrick","pat@sure.com","Im living my life","2022-06-21 15:24:16"
"6","Kay","kay@sure.com","No time to waste","2022-06-21 15:24:16"
"7","Alfa","alfa@yahoo.co.uk","Till the next day!","2022-06-21 15:25:32"
"8","Emmydee","david@sure.com","Tomorrow is another day..","2022-06-21 15:25:32"
"9","Victor","victor@commandschool.com","School resumes tomorow","2022-06-21 15:47:40"
"10","Blessing","blessed@sure.com","The event continues tomorrow","2022-06-21 15:47:40"
"11","Amaechi","amaechi.com","See you at the conference!","2022-06-21 15:48:30"
